specialty,claim_month,total_paid,total_claims,total_beneficiaries,num_providers
Mental Health Counselor,2019-12,90967069.67,1076498,477037,2590
Rehab Substance Use Disorder,2022-04,90917706.24000001,1277000,316201,729
Intellectual Disabilities ICF,2024-11,90858209.62000002,257000,25400,222
Addiction Counselor,2022-02,90846089.86000001,1422389,462449,1384
Intellectual Disabilities ICF,2022-10,90826053.27000001,312984,34902,249
Clinic/Center,2018-08,90728827.85999998,1614183,1179877,1810
Supports Brokerage,2020-11,90719834.08999999,1090146,120061,80
Urgent Care,2022-03,90705221.63999997,1921485,1643719,1424
Rural Health,2023-04,90681736.39999999,1907102,1514607,2563
Ambulatory Surgical,2021-09,90665281.21,1282153,1117482,1328
Hospice,2021-01,90547224.07000001,514910,74840,722
Substance Abuse Rehab,2021-03,90541832.13,565742,127110,617
Urgent Care,2021-01,90532950.78,1931460,1625001,1324
Adult Mental Health,2023-03,90511372.84000002,732384,285200,616
Rural Health,2024-08,90436590.76000002,1887440,1538764,2502
Clinic/Center,2018-03,90380320.97999999,1559789,1133505,1826
Case Manager/Care Coordinator,2018-03,90373016.43,1076273,734844,537
Urgent Care,2024-09,90358617.57000001,1782781,1572036,1482
Specialist,2019-10,90181072.97999997,2074702,1552887,4389
Family Medicine,2020-04,89989452.83999999,2557795,1809444,8803
Hospice,2019-12,89987439.37,535846,77724,665
Dental Clinic,2022-09,89948627.36000004,2104576,1638007,2696
Dental Clinic,2022-11,89892259.94000001,2127774,1622128,2719
Specialist,2021-05,89830813.99,1921020,1462725,4221
Clinical Social Worker,2023-05,89820381.42999999,1381236,780817,3628
Clinical Social Worker,2024-01,89800993.14999998,1294349,741688,3308
Intellectual Disabilities ICF,2022-08,89796648.52999999,316200,35594,253
Clinical Social Worker,2024-05,89786864.72999999,1248039,712294,3317
Nursing Facility,2020-10,89758685.88999999,792668,71558,591
Hospice,2019-11,89729690.08999999,541790,75309,657
Clinical Social Worker,2024-04,89653145.45,1265579,717509,3347
Addiction Counselor,2021-10,89592249.82000001,1483271,476302,1314
Rural Health,2023-12,89514103.63,1923326,1547573,2571
Internal Medicine,2018-10,89460900.84999998,3544036,2861100,10152
Case Manager/Care Coordinator,2018-05,89209584.61000001,1060160,719074,563
Substance Abuse Rehab,2021-05,89198842.05999999,524191,118279,606
Rural Health,2022-12,89167197.85999998,1939817,1530312,2538
Urgent Care,2022-06,89070998.67999999,1866191,1618612,1428
Non-Emergency Transport,2022-08,88986438.37999998,2399670,425951,1402
Ambulatory Surgical,2022-01,88951627.42000002,1198688,1044779,1184
Urgent Care,2022-04,88902088.85000001,1851448,1599011,1416
Intellectual Disabilities ICF,2022-07,88671421.08999999,308203,34505,248
Ambulance,2020-01,88662166.81,1244410,895828,1728
Internal Medicine,2020-05,88600140.11000001,2625462,1902231,9298
Specialist,2022-07,88490941.29,1921911,1445032,3810
Non-Emergency Transport,2023-01,88480335.61999999,2343485,411981,1375
Mental Health Counselor,2018-03,88364128.82000002,1123274,467147,2246
Mental Health Counselor,2019-02,88327528.59,1073865,469505,2421
Dentist,2018-11,88175449.44,2787796,2194918,6547
Specialist,2022-02,88044824.86999999,1925714,1464073,3986
Clinic/Center,2018-04,87995433.1,1469670,1060799,1791
Addiction Counselor,2021-08,87921751.76999998,1493466,471452,1331
Clinical Social Worker,2023-08,87896952.05999999,1317449,761143,3429
Mental Health Counselor,2019-06,87835974.11,1032446,451993,2484
Clinical Social Worker,2023-10,87834042.18000002,1328652,788629,3327
Respite Care,2024-08,87808184.31000002,675996,72236,284
Rural Health,2024-09,87785660.61999999,1762434,1441908,2526
Non-Emergency Transport,2022-10,87754231.88999999,2317996,410966,1366
Urgent Care,2022-07,87740476.96,1838629,1602904,1405
Specialist,2021-01,87710208.58999999,1836921,1393863,4223
Ambulatory Surgical,2022-07,87589195.38,1170846,1015850,1247
Intellectual Disabilities ICF,2022-11,87576061.20000002,315363,34386,241
Non-Emergency Transport,2023-02,87572254.01999998,2309364,428918,1378
Dentist,2019-12,87555989.94000001,2694211,2188920,6542
Hospice,2023-02,87534003.46,575199,82078,760
Clinic/Center,2019-06,87469248.52999999,1583523,1140228,1864
Addiction Counselor,2024-11,87465513.08,1015363,335383,1233
Rural Health,2021-11,87367994.42999998,1865748,1486162,2441
Pediatrics,2020-04,87326858.7,2380296,2069825,5752
Ambulatory Surgical,2021-12,87323291.1,1194808,1044748,1208
Local Education Agency (LEA),2020-12,87307247.22999997,3024505,958144,4986
Clinic/Center,2018-11,87289031.32,1557503,1133954,1811
Clinical Social Worker,2024-03,87233869.06,1231110,700941,3322
Ambulance,2021-01,87210095.00999999,1184119,886173,1809
Hospice,2020-07,87192743.42999999,503205,71663,664
Specialist,2024-07,87050936.39,1778600,1322985,3321
Addiction Counselor,2021-09,87045596.49000001,1460601,475964,1298
Intellectual Disabilities ICF,2022-09,87043978.69000001,298712,34723,244
Clinical Social Worker,2024-02,87031242.59000002,1279510,734325,3327
Pediatrics,2024-12,86965321.63000003,3156627,2529596,4482
Hospice,2020-08,86711526.06,509394,71436,675
Psychiatric Hospital,2024-10,86707569.10000001,1172910,908841,350
Specialist,2020-10,86645831.08,2012322,1544439,4156
Specialist,2023-12,86645342.11999997,1804992,1357954,3416
Dental Clinic,2023-12,86621510.33000001,1920685,1482053,2735
Specialist,2019-01,86589800.72000001,1919087,1407177,4364
Rural Health,2021-10,86589316.93000002,1804962,1450190,2420
Case Manager/Care Coordinator,2018-04,86540422.41999999,1028296,698170,559
Ambulatory Surgical,2021-10,86485520.15,1202626,1048956,1335
Non-Emergency Transport,2022-09,86438698.64999999,2327070,412290,1379
Addiction Counselor,2021-04,86438129.4,1471515,466971,1296
Addiction Counselor,2021-06,86435312.15,1453780,460264,1301
Internal Medicine,2019-06,86434151.35999998,2992299,2367701,9902
Case Manager/Care Coordinator,2018-11,86415929.34,1122112,790895,576
Optometrist,2023-03,86311626.12000002,2783013,2499483,10503
Ambulance,2020-10,86236516.14999999,1183054,870743,1751
Dental Clinic,2024-11,86179997.48,1895810,1494323,2726
Case Manager/Care Coordinator,2018-12,86158175.18,1106403,743262,565
Clinic/Center,2018-02,86137252.63000001,1478293,1080810,1767
Hospice,2020-02,86129343.64999999,527330,79191,651
Dental Clinic,2021-03,86085720.90000002,2006196,1549692,2413
Non-Emergency Transport,2022-11,86078684.65999998,2236981,405298,1376
Respite Care,2024-04,86067852.28,622638,69498,279
Optometrist,2022-08,86002066.44999999,2826881,2570579,10750
Urgent Care,2021-05,85976726.10999998,1748884,1539147,1329
Addiction Counselor,2021-07,85839605.24999999,1457975,446925,1289
Clinic/Center,2018-07,85785000.3,1412068,1012567,1732
Ambulatory Surgical,2021-11,85634210.84,1166840,1016758,1296
Respite Care,2024-10,85570091.93,654026,72004,284
Substance Abuse Rehab,2021-04,85553301.52,524821,121623,616
Mental Health Counselor,2018-04,85546544.05999999,1070900,457904,2325
Intellectual Disabilities ICF,2023-02,85528332.33000001,282892,34467,241
Urgent Care,2023-06,85519674.73,1699840,1488853,1456
Rural Health,2023-06,85475827.57000001,1834080,1447690,2550
Assisted Living Facility,2021-10,85460155.89999998,367295,48488,1400
Hospice,2022-02,85361933.52999999,497642,80953,732
Internal Medicine,2018-05,85360266.77,3124944,2476255,10339
Internal Medicine,2018-03,85345289.2,3158133,2502988,10339
Assisted Living Facility,2022-03,85287623.83000001,361306,48495,1398
Respite Care,2024-07,85237261.39,665754,72455,287
Ambulance,2020-12,85167885.64,1158975,861140,1773
Clinical Social Worker,2023-01,85146148.88,1320450,743694,3553
Dental Clinic,2022-06,84943182.32000001,2007442,1563333,2668
Supports Brokerage,2020-07,84688199.36999999,920932,111450,85
Mental Health Counselor,2018-08,84660500.62999998,1051351,459584,2266
Specialist,2024-10,84660046.55000004,1767231,1306824,3189
Specialist,2019-05,84650955.76,1859917,1371837,4311
Case Manager/Care Coordinator,2018-07,84575209.56,1006918,689435,564
Rural Health,2021-12,84539771.62,1801101,1427075,2440
Non-Emergency Transport,2022-12,84502318.86,2174508,385201,1357
Hospice,2020-09,84499978.35000001,481889,71257,693
Addiction Counselor,2021-05,84495574.98000002,1442394,457690,1274
Specialist,2024-08,84240297.10000001,1794223,1365722,3295
Supports Brokerage,2020-08,84218643.92000002,937017,109732,82
Mental Health Counselor,2018-11,84137981.72000001,1007073,448650,2273
Voluntary/Non-Profit,2021-05,84124182.63000001,998195,136673,240
Supports Brokerage,2020-06,84110365.72,896528,107727,82
Urgent Care,2024-08,84108954.95,1709771,1495303,1469
Rehab Substance Use Disorder,2022-01,84082028.74000001,1250134,298040,712
Dentist,2018-09,84045758.63000001,2693321,2120627,6572
Specialist,2020-02,83995093.83999999,1821663,1373993,4170
Ambulance,2020-11,83970766.39000003,1128690,840942,1748
Ambulance,2020-07,83829652.77999999,1130533,823407,1731
Urgent Care,2020-01,83823808.74000002,1911533,1547034,1216
Mental Health Counselor,2018-01,83822929.79999998,1068223,448824,2179
Assisted Living Facility,2022-01,83637339.25,350610,46585,1383
Dentist,2020-06,83566847.38000003,2694623,2193181,6167
Intellectual Disabilities ICF,2022-05,83479226.46000001,300136,34912,247
Urgent Care,2020-12,83443674.89000003,1734625,1503760,1306
Clinic/Center,2018-12,83431829.61999999,1508407,1095260,1798
Ambulatory Surgical,2021-06,83425011.29999998,1230562,1063773,1400
Non-Emergency Transport,2022-06,83388575.14000002,2078323,393321,1332
Clinical Social Worker,2023-11,83231786.47,1250887,735675,3316
Rural Health,2020-01,83209949.94000001,1700182,1281587,2116
Clinical Social Worker,2024-10,83208313.99000001,1175989,719680,3103
Dental Clinic,2022-04,83208130.16000001,1971583,1539766,2603
Internal Medicine,2018-08,83181922.83999999,3135659,2503565,10064
Supports Brokerage,2020-09,83132375.38,905640,111521,82
Respite Care,2024-05,83106762.13999999,638065,78641,278
Case Manager/Care Coordinator,2018-09,83100814.20000002,995558,695722,561
Specialist,2019-04,83070145.38000001,1870586,1385969,4313
Ambulatory Surgical,2021-04,82892191.42,1221795,1056799,1333
Ambulance,2019-10,82885378.95999998,1223199,876829,1707
Internal Medicine,2018-02,82685648.83999997,3015708,2397437,10137
Rehab Substance Use Disorder,2022-02,82685137.03,1169673,293516,706
Rural Health,2022-04,82641968.91000001,1731574,1378433,2489
Case Manager/Care Coordinator,2018-06,82532930.47,978800,672979,560
Hospice,2020-05,82531812.49000001,466840,61252,633
Respite Care,2024-03,82480445.53,615540,67873,278
Ambulatory Surgical,2021-07,82466225.02000003,1225737,1067147,1315
Ambulance,2020-08,82341610.95000002,1117984,818761,1730
Assisted Living Facility,2022-04,82298805.27999999,349995,47602,1386
Assisted Living Facility,2022-07,82251459.72999999,375360,46128,1362
Assisted Living Facility,2021-08,82139490.66000001,371921,46878,1381
Assisted Living Facility,2021-09,82114540.51,359000,47531,1389
Case Manager/Care Coordinator,2018-02,81998338.28,975237,674813,524
Hospice,2020-06,81966098.32,467042,65756,632
Specialist,2024-06,81950372.53999999,1635187,1214851,3307
Clinical Social Worker,2022-03,81829632.94000001,1334896,728689,3425
Non-Emergency Transport,2022-03,81781262.25,2094994,389756,1362
Hospice,2020-04,81774744.98,458150,59576,635
Rural Health,2021-03,81743862.58000001,1640560,1306288,2305
Rural Health,2022-02,81716805.99999999,1688895,1345983,2435
Optometrist,2022-03,81686944.89999998,2717680,2464300,10859
Respite Care,2024-06,81644489.64,610183,74428,278
Assisted Living Facility,2021-11,81566794.02000003,354890,47098,1379
Clinical Social Worker,2022-08,81549789.91000001,1288778,726053,3308
Clinical Social Worker,2023-04,81535719.84,1263441,745386,3521
Specialist,2019-08,81485751.03999996,1855132,1385293,4234
Internal Medicine,2018-04,81436027.67,3034124,2418982,10259
Ambulance,2020-09,81363838.77,1117848,822900,1700
Local Education Agency (LEA),2020-03,81314253.58999999,3065465,1150777,5163
Clinical Social Worker,2023-06,81309464.3,1232009,707528,3530
Dental Clinic,2022-12,81298274.87000002,1987613,1463609,2646
Intellectual Disabilities ICF,2022-06,81215782.42999999,304529,35009,251
Local Education Agency (LEA),2020-09,81203952.38999999,3114400,920392,4913
Voluntary/Non-Profit,2021-04,81193860.11999999,983145,140908,236
Intellectual Disabilities ICF,2022-03,81008159.36,304716,34097,244
Dental Clinic,2021-08,81003239.91000001,1892013,1476245,2407
Specialist,2019-03,80946523.58000003,1846607,1367892,4308
Emergency Medicine,2020-05,80863384.17999999,1596147,1389045,3335
Assisted Living Facility,2021-12,80849727.18,360611,47126,1383
Hospice,2021-02,80816976.65,465845,71424,698
Specialist,2019-07,80808424.80999994,1790148,1326695,4240
Clinical Social Worker,2023-09,80807429.25999998,1226815,720016,3270
Clinic/Center,2018-09,80783719.95000002,1457812,1067144,1782
Addiction Counselor,2020-10,80771110.08,1448731,440498,1199
Ambulance,2021-02,80675456.22,1099357,829985,1740
Urgent Care,2021-06,80638588.11000001,1615607,1419332,1328
Dental Clinic,2022-05,80597072.85000001,1912497,1494868,2581
Ambulance,2019-12,80482732.73000002,1167001,843342,1708
Supports Brokerage,2020-05,80382212.10999998,874444,98445,81
Non-Emergency Transport,2022-05,80358534.11,2040747,387468,1349
Specialist,2020-12,80335745.71999998,1781431,1336240,4119
Dental Clinic,2021-10,80328923.47000007,1847820,1452445,2462
Substance Abuse Rehab,2020-10,80263230.44000001,520830,112384,562
Respite Care,2024-09,79833684.04,591866,70919,287
Voluntary/Non-Profit,2021-03,79691279.38,1043045,141400,239
Rural Health,2024-07,79599297.09,1631906,1309055,2451
Addiction Counselor,2020-12,79525654.19999999,1435622,423099,1208
Addiction Counselor,2021-01,79420364.98,1387741,428106,1228
Clinical Social Worker,2022-10,79419918.94,1236740,713230,3307
Intellectual Disabilities ICF,2022-04,79357966.91,297755,33850,247
Non-Emergency Transport,2022-07,79279513.20999998,2107440,384347,1347
Ambulance,2020-02,79277407.83000001,1132435,822329,1702
Urgent Care,2023-07,79270434.52999999,1571391,1377343,1436
Assisted Living Facility,2021-01,79244986.42999999,348732,43009,1312
Dental Clinic,2022-01,79207828.22999999,1742111,1372714,2406
Clinic/Center,2018-06,79166294.90999998,1354996,978295,1725
Specialist,2020-11,79139750.14,1788133,1364036,4125
Supports Brokerage,2020-03,79095806.14999998,916442,110187,82
Ambulatory Surgical,2021-05,79083540.78999999,1173399,1017509,1310
Specialist,2021-02,79071962.03999999,1644087,1262554,4092
Specialist,2024-09,79069210.79000002,1644939,1249279,3131
Mental Health Counselor,2018-02,79017071.02,989416,426621,2171
Counselor,2023-03,78995894.03,829156,406429,1179
Optometrist,2023-10,78968661.19000001,2505345,2266194,9928
Dental Clinic,2021-11,78967063.16000004,1807694,1419572,2481
Mental Health Counselor,2018-06,78880250.89,968368,424979,2242
Respite Care,2024-01,78818598.29,644924,69956,268
Specialist,2019-09,78818554.01000002,1783141,1333716,4174
Clinical Social Worker,2023-02,78750864.98000002,1241163,722281,3564
Non-Emergency Transport,2022-04,78737491.67999999,2055875,386662,1349
Specialist,2020-09,78719724.92999999,1830994,1399713,4035
Voluntary/Non-Profit,2020-07,78691613.72,928513,120245,216
Assisted Living Facility,2022-02,78690434.85000001,321355,46423,1387
Rehab Substance Use Disorder,2021-12,78682232.51999998,1236353,299483,704
Clinical Social Worker,2022-11,78611491.88999999,1236273,712739,3325
Speech-Language Pathology Asst,2024-04,78537272.52000001,1024267,300638,2421
Rural Health,2021-04,78485670.11000001,1569321,1262395,2323
Clinical Social Worker,2024-08,78466220.10000002,1123866,683680,3100
Clinic/Center,2020-05,78463021.16,1308530,823408,1711
Addiction Counselor,2019-10,78403811.79,1441953,449264,1055
Voluntary/Non-Profit,2021-06,78336586.65000002,942211,140084,240
Specialist,2018-10,78330234.31,1864036,1415798,4310
Internal Medicine,2018-11,78280584.48999998,2936591,2350542,9548
Mental Health Counselor,2018-07,78240015.56,961667,417326,2214
Intellectual Disabilities ICF,2022-01,78221142.38999999,296424,33580,244
Dental Clinic,2021-04,78166684.32999998,1788827,1377329,2340
Urgent Care,2024-11,78154029.56,1542602,1369137,1395
Assisted Living Facility,2021-07,78151630.52,366423,47259,1375
Ambulatory Surgical,2021-03,78148037.13,1178129,1009712,1410
Dental Clinic,2021-09,78143452.95000003,1812502,1419246,2381
Rural Health,2023-07,78110068.07999998,1681739,1340214,2509
Respite Care,2023-10,78077735.04,654364,73441,261
Specialist,2019-11,78007318.91999999,1730681,1303698,4068
Rehab Substance Use Disorder,2021-11,78005563.73,1221153,296028,695
Supports Brokerage,2020-04,77989920.22999999,838568,96154,80
Urgent Care,2020-11,77882063.16,1639619,1427072,1303
Optometrist,2024-08,77816778.35,2356391,2182279,9442
Substance Abuse Rehab,2021-01,77807896.85000001,519701,111732,592
Dental Clinic,2022-02,77679757.61000001,1813600,1428935,2480
Clinical Social Worker,2024-07,77673598.0,1094742,646041,3069
Respite Care,2023-12,77640064.95,625482,73786,264
DME Supplier,2024-12,77595141.93999998,1117126,976746,2351
Mental Health Counselor,2018-12,77569946.79999998,930829,420542,2183
Substance Abuse Rehab,2020-11,77544297.30000001,502849,109496,565
Respite Care,2023-08,77481494.32,681722,77679,263
Optometrist,2023-05,77412485.86,2493084,2233693,9947
Substance Abuse Rehab,2020-12,77366543.82,506466,109261,567
